scenario,budget,method,arm,stratum,units,mean_inclusion_probability,rho
silent_mild,40,fixed_mixture,0,1,200,0.02445129991745649,0.5
silent_mild,40,fixed_mixture,1,0,1800,0.007800525631973879,0.5
silent_mild,40,fixed_mixture,1,1,200,0.024788770196139086,0.5
silent_mild,40,robust_path,0,0,1800,0.009731218478199218,0.8719383422115913
silent_mild,40,robust_path,0,1,200,0.013701314849253939,0.8719383422115913
silent_mild,40,robust_path,1,0,1800,0.009436663332334925,0.8719383422115913
silent_mild,40,robust_path,1,1,200,0.013787748855938762,0.8719383422115913
silent_mild,40,oracle_residual,0,0,1800,0.002663285692331337,
silent_mild,40,oracle_residual,0,1,200,0.06708160442600279,
silent_mild,40,oracle_residual,1,0,1800,0.004495159059474413,
silent_mild,40,oracle_residual,1,1,200,0.0684923928077455,
silent_mild,100,uniform,0,0,1800,0.025,1.0
silent_mild,100,uniform,0,1,200,0.025,1.0
silent_mild,100,uniform,1,0,1800,0.025,1.0
silent_mild,100,uniform,1,1,200,0.025,1.0
silent_mild,100,historical_active,0,0,1800,0.01975288844368861,0.0
silent_mild,100,historical_active,0,1,200,0.09725649958728246,0.0
silent_mild,100,historical_active,1,0,1800,0.014002628159869393,0.0
silent_mild,100,historical_active,1,1,200,0.09894385098069547,0.0
silent_mild,100,fixed_mixture,0,0,1800,0.02237644422184431,0.5
silent_mild,100,fixed_mixture,0,1,200,0.06112824979364126,0.5
silent_mild,100,fixed_mixture,1,0,1800,0.019501314079934693,0.5
silent_mild,100,fixed_mixture,1,1,200,0.061971925490347725,0.5
silent_mild,100,robust_path,0,0,1800,0.02432804619552251,0.8719383422162534
silent_mild,100,robust_path,0,1,200,0.034253287122798,0.8719383422162534
silent_mild,100,robust_path,1,0,1800,0.023591658330888592,0.8719383422162534
silent_mild,100,robust_path,1,1,200,0.03446937213950218,0.8719383422162534
silent_mild,100,oracle_residual,0,0,1800,0.00665821423082834,
silent_mild,100,oracle_residual,0,1,200,0.16770401106500685,
silent_mild,100,oracle_residual,1,0,1800,0.011237897648686029,
silent_mild,100,oracle_residual,1,1,200,0.1712309820193637,
silent_mild,250,uniform,0,0,1800,0.0625,1.0
silent_mild,250,uniform,0,1,200,0.0625,1.0
silent_mild,250,uniform,1,0,1800,0.0625,1.0
silent_mild,250,uniform,1,1,200,0.0625,1.0
silent_mild,250,historical_active,0,0,1800,0.04938222110922154,0.0
silent_mild,250,historical_active,0,1,200,0.24314124896820621,0.0
silent_mild,250,historical_active,1,0,1800,0.03500657039967349,0.0
silent_mild,250,historical_active,1,1,200,0.24735962745173876,0.0
silent_mild,250,fixed_mixture,0,0,1800,0.05594111055461078,0.5
silent_mild,250,fixed_mixture,0,1,200,0.15282062448410308,0.5
silent_mild,250,fixed_mixture,1,0,1800,0.04875328519983676,0.5
silent_mild,250,fixed_mixture,1,1,200,0.15492981372586936,0.5
silent_mild,250,robust_path,0,0,1800,0.06082011548875313,0.8719383422122023
silent_mild,250,robust_path,0,1,200,0.08563321780772679,0.8719383422122023
silent_mild,250,robust_path,1,0,1800,0.05897914582711007,0.8719383422122023
silent_mild,250,robust_path,1,1,200,0.08617343034950434,0.8719383422122023
silent_mild,250,oracle_residual,0,0,1800,0.016645535577070852,
silent_mild,250,oracle_residual,0,1,200,0.4192600276625172,
silent_mild,250,oracle_residual,1,0,1800,0.02809474412171507,
silent_mild,250,oracle_residual,1,1,200,0.4280774550484094,
silent_mild,600,uniform,0,0,1800,0.14999999999999997,1.0
silent_mild,600,uniform,0,1,200,0.14999999999999997,1.0
silent_mild,600,uniform,1,0,1800,0.14999999999999997,1.0
silent_mild,600,uniform,1,1,200,0.14999999999999997,1.0
silent_mild,600,historical_active,0,0,1800,0.11851733066213169,0.0
silent_mild,600,historical_active,0,1,200,0.5835389975236948,0.0
silent_mild,600,historical_active,1,0,1800,0.08401576895921635,0.0
silent_mild,600,historical_active,1,1,200,0.5936631058841728,0.0
silent_mild,600,fixed_mixture,0,0,1800,0.13425866533106579,0.5
silent_mild,600,fixed_mixture,0,1,200,0.36676949876184745,0.5
silent_mild,600,fixed_mixture,1,0,1800,0.11700788447960815,0.5
silent_mild,600,fixed_mixture,1,1,200,0.3718315529420863,0.5
silent_mild,600,robust_path,0,0,1800,0.14596827717326222,0.8719383422202923
silent_mild,600,robust_path,0,1,200,0.20551972273503694,0.8719383422202923
silent_mild,600,robust_path,1,0,1800,0.14154994998559806,0.8719383422202923
silent_mild,600,robust_path,1,1,200,0.2068162328352212,0.8719383422202923
silent_mild,600,oracle_residual,0,0,1800,0.05900948917314602,
silent_mild,600,oracle_residual,0,1,200,1.0,
silent_mild,600,oracle_residual,1,0,1800,0.05210162193796505,
silent_mild,600,oracle_residual,1,1,200,1.0,
silent_strong,40,uniform,0,0,1800,0.01,1.0
silent_strong,40,uniform,0,1,200,0.009999999999999998,1.0
silent_strong,40,uniform,1,0,1800,0.01,1.0
silent_strong,40,uniform,1,1,200,0.009999999999999998,1.0
silent_strong,40,historical_active,0,0,1800,0.007901155377475447,0.0
silent_strong,40,historical_active,0,1,200,0.03890259983491297,0.0
silent_strong,40,historical_active,1,0,1800,0.005601051263947758,0.0
silent_strong,40,historical_active,1,1,200,0.03957754039227817,0.0
silent_strong,40,fixed_mixture,0,0,1800,0.00895057768873772,0.5
silent_strong,40,fixed_mixture,0,1,200,0.02445129991745649,0.5
silent_strong,40,fixed_mixture,1,0,1800,0.007800525631973879,0.5
silent_strong,40,fixed_mixture,1,1,200,0.024788770196139086,0.5
silent_strong,40,robust_path,0,0,1800,0.009731218478199218,0.8719383422115913
silent_strong,40,robust_path,0,1,200,0.013701314849253939,0.8719383422115913
silent_strong,40,robust_path,1,0,1800,0.009436663332334925,0.8719383422115913
silent_strong,40,robust_path,1,1,200,0.013787748855938762,0.8719383422115913
silent_strong,40,oracle_residual,0,0,1800,0.0016502477392157436,
silent_strong,40,oracle_residual,0,1,200,0.04156567444706704,
silent_strong,40,oracle_residual,1,0,1800,0.011238028528134743,
silent_strong,40,oracle_residual,1,1,200,0.04243983914677857,
silent_strong,100,uniform,0,0,1800,0.025,1.0
silent_strong,100,uniform,0,1,200,0.025,1.0
silent_strong,100,uniform,1,0,1800,0.025,1.0
silent_strong,100,uniform,1,1,200,0.025,1.0
silent_strong,100,historical_active,0,0,1800,0.01975288844368861,0.0
silent_strong,100,historical_active,0,1,200,0.09725649958728246,0.0
silent_strong,100,historical_active,1,0,1800,0.014002628159869393,0.0
silent_strong,100,historical_active,1,1,200,0.09894385098069547,0.0
silent_strong,100,fixed_mixture,0,0,1800,0.02237644422184431,0.5
silent_strong,100,fixed_mixture,0,1,200,0.06112824979364126,0.5
silent_strong,100,fixed_mixture,1,0,1800,0.019501314079934693,0.5
silent_strong,100,fixed_mixture,1,1,200,0.061971925490347725,0.5
silent_strong,100,robust_path,0,0,1800,0.02432804619552251,0.8719383422162534
silent_strong,100,robust_path,0,1,200,0.034253287122798,0.8719383422162534
silent_strong,100,robust_path,1,0,1800,0.023591658330888592,0.8719383422162534
silent_strong,100,robust_path,1,1,200,0.03446937213950218,0.8719383422162534
silent_strong,100,oracle_residual,0,0,1800,0.004125619348039361,
silent_strong,100,oracle_residual,0,1,200,0.10391418611766762,
silent_strong,100,oracle_residual,1,0,1800,0.02809507132033685,
silent_strong,100,oracle_residual,1,1,200,0.10609959786694642,
silent_strong,250,uniform,0,0,1800,0.0625,1.0
silent_strong,250,uniform,0,1,200,0.0625,1.0
silent_strong,250,uniform,1,0,1800,0.0625,1.0
silent_strong,250,uniform,1,1,200,0.0625,1.0
silent_strong,250,historical_active,0,0,1800,0.04938222110922154,0.0
silent_strong,250,historical_active,0,1,200,0.24314124896820621,0.0
silent_strong,250,historical_active,1,0,1800,0.03500657039967349,0.0
silent_strong,250,historical_active,1,1,200,0.24735962745173876,0.0
silent_strong,250,fixed_mixture,0,0,1800,0.05594111055461078,0.5
silent_strong,250,fixed_mixture,0,1,200,0.15282062448410308,0.5
silent_strong,250,fixed_mixture,1,0,1800,0.04875328519983676,0.5
silent_strong,250,fixed_mixture,1,1,200,0.15492981372586936,0.5
silent_strong,250,robust_path,0,0,1800,0.06082011548875313,0.8719383422122023
silent_strong,250,robust_path,0,1,200,0.08563321780772679,0.8719383422122023
silent_strong,250,robust_path,1,0,1800,0.05897914582711007,0.8719383422122023
silent_strong,250,robust_path,1,1,200,0.08617343034950434,0.8719383422122023
silent_strong,250,oracle_residual,0,0,1800,0.0103140483700984,
silent_strong,250,oracle_residual,0,1,200,0.25978546529416896,
silent_strong,250,oracle_residual,1,0,1800,0.07023767830084214,
silent_strong,250,oracle_residual,1,1,200,0.2652489946673659,
silent_strong,600,uniform,0,0,1800,0.14999999999999997,1.0
silent_strong,600,uniform,0,1,200,0.14999999999999997,1.0
silent_strong,600,uniform,1,0,1800,0.14999999999999997,1.0
silent_strong,600,uniform,1,1,200,0.14999999999999997,1.0
silent_strong,600,historical_active,0,0,1800,0.11851733066213169,0.0
silent_strong,600,historical_active,0,1,200,0.5835389975236948,0.0
silent_strong,600,historical_active,1,0,1800,0.08401576895921635,0.0
silent_strong,600,historical_active,1,1,200,0.5936631058841728,0.0
silent_strong,600,fixed_mixture,0,0,1800,0.13425866533106579,0.5
silent_strong,600,fixed_mixture,0,1,200,0.36676949876184745,0.5
silent_strong,600,fixed_mixture,1,0,1800,0.11700788447960815,0.5
silent_strong,600,fixed_mixture,1,1,200,0.3718315529420863,0.5
silent_strong,600,robust_path,0,0,1800,0.14596827717326222,0.8719383422202923
silent_strong,600,robust_path,0,1,200,0.20551972273503694,0.8719383422202923
silent_strong,600,robust_path,1,0,1800,0.14154994998559806,0.8719383422202923
silent_strong,600,robust_path,1,1,200,0.2068162328352212,0.8719383422202923
silent_strong,600,oracle_residual,0,0,1800,0.025303697690384225,
silent_strong,600,oracle_residual,0,1,200,0.7765074640328327,
silent_strong,600,oracle_residual,1,0,1800,0.13365790225349145,
silent_strong,600,oracle_residual,1,1,200,0.7928381364722861,
silent_uncertain_group,40,uniform,0,0,1800,0.01,1.0
silent_uncertain_group,40,uniform,0,1,200,0.009999999999999998,1.0
silent_uncertain_group,40,uniform,1,0,1800,0.01,1.0
silent_uncertain_group,40,uniform,1,1,200,0.009999999999999998,1.0
silent_uncertain_group,40,historical_active,0,0,1800,0.007901155377475447,0.0
silent_uncertain_group,40,historical_active,0,1,200,0.03890259983491297,0.0
silent_uncertain_group,40,historical_active,1,0,1800,0.005601051263947758,0.0
silent_uncertain_group,40,historical_active,1,1,200,0.03957754039227817,0.0
silent_uncertain_group,40,fixed_mixture,0,0,1800,0.00895057768873772,0.5
silent_uncertain_group,40,fixed_mixture,0,1,200,0.02445129991745649,0.5
silent_uncertain_group,40,fixed_mixture,1,0,1800,0.007800525631973879,0.5
silent_uncertain_group,40,fixed_mixture,1,1,200,0.024788770196139086,0.5
silent_uncertain_group,40,robust_path,0,0,1800,0.009731218478199218,0.8719383422115913
silent_uncertain_group,40,robust_path,0,1,200,0.013701314849253939,0.8719383422115913
silent_uncertain_group,40,robust_path,1,0,1800,0.009436663332334925,0.8719383422115913
silent_uncertain_group,40,robust_path,1,1,200,0.013787748855938762,0.8719383422115913
silent_uncertain_group,40,oracle_residual,0,0,1800,0.00314748977247445,
silent_uncertain_group,40,oracle_residual,0,1,200,0.0792775121572473,
silent_uncertain_group,40,oracle_residual,1,0,1800,0.0014466102733848231,
silent_uncertain_group,40,oracle_residual,1,1,200,0.07937558743001917,
silent_uncertain_group,100,uniform,0,0,1800,0.025,1.0
silent_uncertain_group,100,uniform,0,1,200,0.025,1.0
silent_uncertain_group,100,uniform,1,0,1800,0.025,1.0
silent_uncertain_group,100,uniform,1,1,200,0.025,1.0
silent_uncertain_group,100,historical_active,0,0,1800,0.01975288844368861,0.0
silent_uncertain_group,100,historical_active,0,1,200,0.09725649958728246,0.0
silent_uncertain_group,100,historical_active,1,0,1800,0.014002628159869393,0.0
silent_uncertain_group,100,historical_active,1,1,200,0.09894385098069547,0.0
silent_uncertain_group,100,fixed_mixture,0,0,1800,0.02237644422184431,0.5
silent_uncertain_group,100,fixed_mixture,0,1,200,0.06112824979364126,0.5
silent_uncertain_group,100,fixed_mixture,1,0,1800,0.019501314079934693,0.5
silent_uncertain_group,100,fixed_mixture,1,1,200,0.061971925490347725,0.5
silent_uncertain_group,100,robust_path,0,0,1800,0.02432804619552251,0.8719383422162534
silent_uncertain_group,100,robust_path,0,1,200,0.034253287122798,0.8719383422162534
silent_uncertain_group,100,robust_path,1,0,1800,0.023591658330888592,0.8719383422162534
silent_uncertain_group,100,robust_path,1,1,200,0.03446937213950218,0.8719383422162534
silent_uncertain_group,100,oracle_residual,0,0,1800,0.007868724431186124,
silent_uncertain_group,100,oracle_residual,0,1,200,0.19819378039311836,
silent_uncertain_group,100,oracle_residual,1,0,1800,0.0036165256834620584,
silent_uncertain_group,100,oracle_residual,1,1,200,0.19843896857504795,
silent_uncertain_group,250,uniform,0,0,1800,0.0625,1.0
silent_uncertain_group,250,uniform,0,1,200,0.0625,1.0
silent_uncertain_group,250,uniform,1,0,1800,0.0625,1.0
silent_uncertain_group,250,uniform,1,1,200,0.0625,1.0
silent_uncertain_group,250,historical_active,0,0,1800,0.04938222110922154,0.0
silent_uncertain_group,250,historical_active,0,1,200,0.24314124896820621,0.0
silent_uncertain_group,250,historical_active,1,0,1800,0.03500657039967349,0.0
silent_uncertain_group,250,historical_active,1,1,200,0.24735962745173876,0.0
silent_uncertain_group,250,fixed_mixture,0,0,1800,0.05594111055461078,0.5
silent_uncertain_group,250,fixed_mixture,0,1,200,0.15282062448410308,0.5
silent_uncertain_group,250,fixed_mixture,1,0,1800,0.04875328519983676,0.5
silent_uncertain_group,250,fixed_mixture,1,1,200,0.15492981372586936,0.5
silent_uncertain_group,250,robust_path,0,0,1800,0.06082011548875313,0.8719383422122023
silent_uncertain_group,250,robust_path,0,1,200,0.08563321780772679,0.8719383422122023
silent_uncertain_group,250,robust_path,1,0,1800,0.05897914582711007,0.8719383422122023
silent_uncertain_group,250,robust_path,1,1,200,0.08617343034950434,0.8719383422122023
silent_uncertain_group,250,oracle_residual,0,0,1800,0.01957800511508952,
silent_uncertain_group,250,oracle_residual,0,1,200,0.49616368286444995,
silent_uncertain_group,250,oracle_residual,1,0,1800,0.008984086388178466,
silent_uncertain_group,250,oracle_residual,1,1,200,0.49677749360613793,
silent_uncertain_group,600,uniform,0,0,1800,0.14999999999999997,1.0
silent_uncertain_group,600,uniform,0,1,200,0.14999999999999997,1.0
silent_uncertain_group,600,uniform,1,0,1800,0.14999999999999997,1.0
silent_uncertain_group,600,uniform,1,1,200,0.14999999999999997,1.0
silent_uncertain_group,600,historical_active,0,0,1800,0.11851733066213169,0.0
silent_uncertain_group,600,historical_active,0,1,200,0.5835389975236948,0.0
silent_uncertain_group,600,historical_active,1,0,1800,0.08401576895921635,0.0
silent_uncertain_group,600,historical_active,1,1,200,0.5936631058841728,0.0
silent_uncertain_group,600,fixed_mixture,0,0,1800,0.13425866533106579,0.5
silent_uncertain_group,600,fixed_mixture,0,1,200,0.36676949876184745,0.5
silent_uncertain_group,600,fixed_mixture,1,0,1800,0.11700788447960815,0.5
silent_uncertain_group,600,fixed_mixture,1,1,200,0.3718315529420863,0.5
silent_uncertain_group,600,robust_path,0,0,1800,0.14596827717326222,0.8719383422202923
silent_uncertain_group,600,robust_path,0,1,200,0.20551972273503694,0.8719383422202923
silent_uncertain_group,600,robust_path,1,0,1800,0.14154994998559806,0.8719383422202923
silent_uncertain_group,600,robust_path,1,1,200,0.2068162328352212,0.8719383422202923
silent_uncertain_group,600,oracle_residual,0,0,1800,0.07450799278472346,
silent_uncertain_group,600,oracle_residual,0,1,200,1.0,
silent_uncertain_group,600,oracle_residual,1,0,1800,0.03660311832638756,
silent_uncertain_group,600,oracle_residual,1,1,200,1.0,
visible_control,40,uniform,0,0,1800,0.01,1.0
visible_control,40,uniform,0,1,200,0.009999999999999998,1.0
visible_control,40,uniform,1,0,1800,0.01,1.0
visible_control,40,uniform,1,1,200,0.009999999999999998,1.0
visible_control,40,historical_active,0,0,1800,0.004094384268649493,0.0
visible_control,40,historical_active,0,1,200,0.02015935457081563,0.0
visible_control,40,historical_active,1,0,1800,0.01360911975215827,0.0
visible_control,40,historical_active,1,1,200,0.02050910924191445,0.0
visible_control,40,fixed_mixture,0,0,1800,0.007047192134324749,0.5
visible_control,40,fixed_mixture,0,1,200,0.01507967728540782,0.5
visible_control,40,fixed_mixture,1,0,1800,0.011804559876079136,0.5
visible_control,40,fixed_mixture,1,1,200,0.015254554620957227,0.5
