eta,calibration_per_class,field_n,cohort,method,true_contrast,structural_width,nominal_minimum_coverage,replicates,feasible_count,feasible_rate,feasible_mcse,covered_count,covered_rate,covered_mcse,resolved_count,resolved_rate,resolved_mcse,wrong_resolution_count,wrong_resolution_rate,wrong_resolution_mcse,covered_mc_ci_lower,covered_mc_ci_upper,wrong_resolution_mc_ci_lower,wrong_resolution_mc_ci_upper,infeasible_count,width_feasible_n,width_p10,width_median,width_p90,max_constraint_residual
0.3,40,80,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,4,0.02,0.009899494936611665,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.05595562705812543,0.07321006335938153,0.08766635272357343,3.3306690738754696e-16
0.3,40,80,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.08483031575024141,0.09767118256878382,0.1,6.661338147750939e-16
0.3,40,80,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.1,0.1,0.1,2.6645352591003757e-15
0.3,40,80,near,field_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.07794370653733657,0.08812617834213553,0.09438949646860008,3.3306690738754696e-16
0.3,40,80,near,calibration_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.09316864375953679,0.1,0.1,1.887379141862766e-15
0.3,40,80,near,joint,0.015399999999999995,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.1,0.1,0.1,3.3306690738754696e-15
0.3,160,320,positive,field_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,140,0.7,0.032403703492039304,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.04620937935314088,0.052071703685927936,0.055572971519322945,2.220446049250313e-16
0.3,160,320,positive,calibration_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,17,0.085,0.01971991379291502,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.06040483821324481,0.06793624818283484,0.07808342916323058,6.106226635438361e-16
0.3,160,320,positive,joint,0.033,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0807391880431944,0.09314936531499732,0.09825694936524347,4.218847493575595e-15
0.3,160,320,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,15,0.075,0.018624580532189176,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.04067421871972898,0.04831667989153593,0.053687981937644486,2.220446049250313e-16
